Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_coinc12,Err_coinc12,Avg_coinc23,Err_coinc23
7952.18,16.374441281238493,4483.19,15.694680177008573,4008.41,13.698015634508247,180.37,2.343726636247185,3.41,0.3279504766752369
ch1,ch2,ch3,coinc12,coinc23
8097,4400,3966,170,3
8060,4462,4096,172,5
7989,4470,4068,179,4
8005,4593,3939,179,5
8064,4442,4026,188,6
8034,4434,4090,194,2
8101,4604,4082,204,2
7942,4642,4113,176,0
8062,4401,3972,180,7
8014,4554,4058,166,4
7961,4512,4106,191,4
7864,4527,3999,182,4
8017,4445,4034,189,1
8045,4377,4067,167,5
8107,4535,3941,183,3
7948,4561,4022,193,5
7980,4355,4001,185,3
7918,4594,4001,173,4
7911,4381,3964,193,4
7982,4358,3950,174,1
7902,4467,4099,164,7
8008,4449,4123,176,3
7913,4493,3987,173,3
7823,4442,3984,181,3
7954,4588,3965,173,4
7839,4413,4136,187,1
8008,4647,3982,174,5
8061,4552,4076,165,3
8015,4524,4076,180,4
7942,4546,4011,174,2
7944,4482,3970,176,4
7929,4457,4100,181,4
7793,4577,3974,177,3
7894,4464,4051,194,6
7973,4423,4042,184,4
7861,4445,3977,171,4
7895,4520,4039,185,3
7876,4542,3928,177,1
8001,4564,4062,199,5
8000,4544,4051,170,4
7946,4403,4066,178,3
7900,4492,4043,174,2
8033,4524,4053,196,7
8045,4478,3965,173,1
7982,4384,4014,161,5
8004,4579,4017,194,3
7742,4582,3940,170,3
8011,4469,3976,177,6
8007,4496,4109,178,2
7850,4566,4019,183,4
7908,4523,4013,169,5
7789,4573,3886,185,1
7824,4453,4142,190,0
8034,4598,3999,198,4
7867,4390,3846,161,1
7998,4542,3926,190,3
8032,4525,3976,186,3
7948,4374,4021,197,7
7928,4509,3901,193,6
7946,4350,3934,165,4
8020,4450,4079,190,5
7947,4307,3966,167,1
8050,4540,3983,187,3
7966,4519,4074,175,6
8111,4619,3940,222,3
7953,4451,3902,171,3
7908,4577,3909,164,3
8020,4489,3983,178,1
7962,4616,4230,178,3
7970,4469,4076,173,4
7928,4554,4001,184,4
7947,4392,3965,199,4
8055,4450,3936,188,2
8026,4472,4037,187,6
7878,4340,4093,180,5
7970,4485,3966,160,3
7974,4554,3947,158,2
7874,4518,4023,167,1
7946,4541,4015,194,5
7805,4425,3930,188,6
7712,4566,4033,160,5
7961,4505,3968,174,2
8039,4384,3908,183,3
7899,4335,3893,172,4
8049,4334,3925,189,2
8024,4437,3968,157,2
7956,4420,4006,183,3
7894,4414,3984,173,4
7969,4475,3903,188,2
7793,4477,4154,187,3
7865,4444,3960,185,1
7998,4553,3965,182,4
7846,4414,4110,186,2
7967,4510,4020,184,3
7888,4567,3975,206,5
7890,4427,3989,195,1
7808,4437,4060,176,2
7929,4490,3967,161,2
7984,4451,3977,196,4
7911,4315,4047,173,2
